id,km,stan,historia,height_top,water_p10,water_p1,water_p0_2,lat_start,lon_start,lat_end,lon_end
1,0.0,2,0,5.2,3.5,4.2,4.8,52.2297,21.0122,52.2317,21.0145
2,0.5,1,2,5.5,3.8,4.5,5.1,52.2317,21.0145,52.2337,21.0168
3,1.0,3,1,5.0,3.6,4.4,5.0,52.2337,21.0168,52.2357,21.0191
4,1.5,2,0,5.3,3.7,4.3,4.9,52.2357,21.0191,52.2377,21.0214
5,2.0,1,2,5.1,3.9,4.6,5.2,52.2377,21.0214,52.2397,21.0237
6,2.5,2,1,5.4,3.5,4.1,4.7,52.2397,21.0237,52.2417,21.0260
7,3.0,3,0,4.9,3.4,4.0,4.6,52.2417,21.0260,52.2437,21.0283
8,3.5,1,1,5.6,3.8,4.4,5.0,52.2437,21.0283,52.2457,21.0306
9,4.0,2,2,5.2,4.0,4.7,5.3,52.2457,21.0306,52.2477,21.0329
10,4.5,1,0,5.5,3.6,4.2,4.8,52.2477,21.0329,52.2497,21.0352
